O,D,cluster,nrOfTrips
2614,2622,2,520
2614,2622,3,0
2614,2622,4,544
2614,2622,5,23
2614,2622,6,0
2614,2623,1,10
2614,2623,2,82
2614,2623,3,0
2614,2623,4,86
2614,2623,5,3
2614,2623,6,0
2614,2624,1,100
2614,2624,2,789
2614,2624,3,0
2614,2624,4,826
2614,2624,5,35
2614,2624,6,0
2614,2625,1,563
2614,2625,2,4437
2614,2625,3,0
2614,2625,4,4642
2614,2625,5,198
2614,2625,6,0
2614,2626,1,4
2614,2626,2,37
2614,2626,3,0
2614,2626,4,38
2614,2626,5,1
2614,2626,6,0
2614,2627,1,18
2614,2627,2,148
2614,2627,3,0
2614,2627,4,154
2614,2627,5,6
2614,2627,6,0
2614,2628,1,29
2614,2628,2,230
2614,2628,3,0
2614,2628,4,240
2614,2628,5,10
2614,2628,6,0
2614,2629,1,1
2614,2629,2,10
2614,2629,3,0
2614,2629,4,10
2614,2629,5,0
2614,2629,6,0
2614,3000,1,66
2614,3000,2,522
2614,3000,3,0
2614,3000,4,546
2614,3000,5,23
2614,3000,6,0
2622,1001,1,0
2622,1001,2,4
2622,1001,3,0
2622,1001,4,4
2622,1001,5,1
2622,1001,6,0
2622,1002,1,0
2622,1002,2,0
2622,1002,3,0
2622,1002,4,0
2622,1002,5,0
2622,1002,6,0
2622,1003,1,1
2622,1003,2,6
2622,1003,3,0
2622,1003,4,6
2622,1003,5,1
2622,1003,6,0
2622,1004,1,5
2622,1004,2,34
2622,1004,3,0
2622,1004,4,35
2622,1004,5,9
2622,1004,6,0
2622,1005,1,22
2622,1005,2,137
2622,1005,3,0
2622,1005,4,138
2622,1005,5,39
2622,1005,6,0
2622,1006,1,0
2622,1006,2,0
2622,1006,3,0
2622,1006,4,0
2622,1006,5,0
2622,1006,6,0
2622,1007,1,0
2622,1007,2,0
2622,1007,3,0
2622,1007,4,0
2622,1007,5,0
2622,1007,6,0
2622,2611,1,7
2622,2611,2,44
2622,2611,3,0
2622,2611,4,44
2622,2611,5,12
2622,2611,6,0
2622,2612,1,0
2622,2612,2,3
2622,2612,3,0
2622,2612,4,3
2622,2612,5,1
2622,2612,6,0
2622,2613,1,15
2622,2613,2,95
2622,2613,3,0
2622,2613,4,96
2622,2613,5,27
2622,2613,6,0
2622,2614,1,21
2622,2614,2,133
2622,2614,3,0
2622,2614,4,135
2622,2614,5,38
2622,2614,6,0
2622,2616,1,0
2622,2616,2,0
2622,2616,3,0
2622,2616,4,0
2622,2616,5,0
2622,2616,6,0
2622,2622,1,0
2622,2622,2,0
2622,2622,3,0
2622,2622,4,0
2622,2622,5,0
2622,2622,6,0
2622,2623,1,281
2622,2623,2,1734
2622,2623,3,0
2622,2623,4,1750
2622,2623,5,498
2622,2623,6,0
2622,2624,1,57
2622,2624,2,355
2622,2624,3,0
2622,2624,4,359
2622,2624,5,102
2622,2624,6,0
2622,2625,1,376
2622,2625,2,2320
2622,2625,3,0
2622,2625,4,2342
2622,2625,5,666
2622,2625,6,0
2622,2626,1,236
2622,2626,2,1456
2622,2626,3,0
2622,2626,4,1469
2622,2626,5,418
2622,2626,6,0
2622,2627,1,46
2622,2627,2,286
2622,2627,3,0
2622,2627,4,288
2622,2627,5,82
2622,2627,6,0
2622,2628,1,12
2622,2628,2,77
2622,2628,3,0
2622,2628,4,78
2622,2628,5,22
2622,2628,6,0
2622,2629,1,13
2622,2629,2,82
2622,2629,3,0
2622,2629,4,83
2622,2629,5,23
2622,2629,6,0
2622,3000,1,1
2622,3000,2,10
2622,3000,3,0
2622,3000,4,10
2622,3000,5,3
